Id;Nombre;Fecha de muerte;Fecha de beatificación;Fecha de canonización;Mini biografía;Virtudes centrales;VC Observaciones;Fuente
102;Fulgencio;1529;;;"ace en Cartago, África, hacia el año 468. Desde muy pequeño aprendió a hablar perfectamente el griego y el latín alentado por su madre, resultando ser además un excelente administrador de los bienes de su familia y tesorero general de la provincia donde vivía. Sin embargo, desilusionado por lo material y banal del mundo que lo rodeaba decide alejarse completamente para realizar oración y ayudo continúo. A los 22 años llegó a un monasterio y pidió ser admitido como religioso ante el obispo llamado Fausto, lo cual no agrado mucho a su madre que deseaba que Fulgencio permaneciera a su lado. A partir de ese momento, comenzó a realizar ayunos y flagelaba su cuerpo, lo que le causó algunos daños a su salud cayendo gravemente enfermo. Debido a la persecución emprendida por el rey de Wandalos contra los católicos en la ciudad donde residía Fulgencio, debe trasladarse en compañía del obispo Fausto y recluirse en el monasterio que estaba a cargo del obispo Félix; no obstante, fueron apresados por un arriano también llamado Félix y sometidos a varios azotes desnudos y rasuradas sus cabezas. Después y ya recuperado, decide viajar a Sicilia, Zaragoza y Roma para visitar los cuerpos de san Pedro y san Pablo, principalmente, en este último lugar. Para luego regresar nuevamente a África y ser nombrado obispo de estos territorios, continuando con su vida tranquila de grandes penitencias, oración y lectura.  Muere hacia el años de 1529.";;;Ribadeneira, t, 1. p. 79.
103;Visitación;;;;Esta escena, la Visitación, aparece principalmente referenciada en el Evangelio de san Lucas que expone cómo María visita a su prima Isabel. Ésta lleva en su mano un niño que se convertirá en Juan el Bautista. En aquellos días, según este evangelio, María había partido hacia la región montañosa, a una ciudad de Judá. Entró en casa de Zacarías y saludó a Isabel. Y sucedió que, cuanto oyó Isabel el saludo de María, salto de gozo el niño en su seno. Presa del entusiasmo, asocia esta primera señal de la presencia del futuro Juan Bautista con el saludo que le ha dirigido María. A continuación el canto del Magníficat por María.;;;G.Suchaux y M. Pastourea.
104;Pedro Apóstol;;;;Pescadores en el lago de  Geneasaret, Pedro y su hermano Andrés son los dos primeros discípulos llamados por Jesús. Llamado inicialmente Simón, el mayor de los hermanos,  recibe del Señor el nombre de Cefas que significa en la lengua Siriaca y caldea Pedro, signo de su papel en la construcción de la Iglesia futura. Para este momento, Pedro está casado con una mujer llama Perpetúa, hija de Aristibulo que era hermano de san Bernabé. Fue conocido entre los apóstoles como el hermano mayor  y los evangelistas lo nombran como la cabeza de toda la iglesia. Incluso hasta la Ascensión, la vida de Pedro se confunde con la de Jesús pues está presente en todos los acontecimientos importantes de la vida de éste,  especialmente los de la pasión, en la trasfiguración del monte Thabor, la resurrección de la hija de Jairo, príncipe de la Sinagoga, y en la oración del huerto. En algunos de los episodios relatos por los evangelistas, se destaca esencialmente el momento en que Jesús le señala a Pedro el lugar en el que debe extender su red para sacar los peces del mar y su resistencia a que éste le lavara los pies mientras estaban cenando. Después de Pentecostés, el apostolado de Pedro se desarrolla en Palestina  y en Asia Menor, donde realiza números milagros y conversiones al cristianismo. Jefe de la primera comunidad cristiana de Jerusalén, es recluido en prisión por Herodes -quien hizo degollar a Santiago, el mayor, para ganar la voluntad de los judíos-, pero fue liberado por un ángel. En una fecha que la tradición sitúa en el 44, Pedro parte para Roma donde se queda hasta el final de su vida predicando el evangelio, reuniendo a los discípulos de Cristo y organizando la Iglesia romana de la que fue el primer obispo. A algunos de las personas más  cercanas a su apostolado las envío a predicar a Italia, Francia, España, África y Sicilia. Su muerte se sitúa tanto en el 64 como en el 67, el mismo día que la de Pablo, después de la gran persecución anticristiana de Nerón. Pedro es crucificado. La leyenda narra que juzgándose indigno de experimentar la misma muerte que Cristo, habría pedido que lo crucificaran cabeza a bajo.;;;"G.Suchaux y M. Pastourea; Rivadeneira t, 2, p. 269"
105;Nicolás de Mira o Bari;;;;Nicolás es uno de los santos más populares gracias a la difusión de una leyenda que surge en la Iglesia griega y su culto, ya muy popular en Oriente, se desarrolla en Italia y después en Occidente cuando sus reliquias son trasladadas a Bari en 1807. Nació en Asia Menor hacia el año 270, siendo nombrado muy joven obispo de la pequeña ciudad marítima de Mira, en Anatolia. Durante gran parte de su vida realizó actos de penitencia: comía, dormía y bebía muy poco, además, leía libros sagrados o textos con reflexiones que invocaban la fe. Se despojo de todos sus bienes  materiales repartiéndolos entre las personas más pobres y necesitadas de Mira. Habiendo sufrido a causa de su fe hasta el advenimiento de Constantino y la proclamación del cristianismo como religión oficial del Imperio, pronto se destacaría por su carisma y por su celo contra la herejía arriana. Finalmente, moriría en los años 343. Dos episodios de su abundante leyenda resultan especialmente celebres: la dotación de dos doncellas y la resurrección de los tres niños arrojados al saladero. En el primero, un noble arruinado proyecta prostituir a sus hijas al no poder casarlas, Nicolás las salva de la deshonra y, tres noches seguidas, arroja por la ventana de su casa una bolsa llena de oro. En el segundo, en periodo de hambre  (a veces tres soldados o tres clérigos) piden hospitalidad a un carnicero (o posadero) que los mata, los corta en pedazos, siendo “arrojados al saladero como cochinos”, para servirlos a los clientes.  Al hacer la señal de la cruz, el santo logra reunir los pedazos y resucitar a los tres niños. A san Nicolás se le han atribuido numerosos milagros. Muchos se relacionan con el mar, y el santo se convierte muy pronto en el patrón de los marinos, y después de los viajeros. También es el de los niños, de las muchachas casaderas, de los perfumistas, de los boticarios, y de Rusia.;;;"G.Suchaux y M. Pastourea; Rivadeneira t, 3. p. 533"
106;Nicolas de Tolentino;1306;;1447;"Religioso de la orden de san Agustín que nació en san Ángelo, de la ciudad de Fermo, que es la provincia de Marca de Ancona. Sus padres, Campañano y Amatha, pidieron con gran devoción al obispo san Nicolás que les permitiera concebir un hijo prometiéndole visitar su cuerpo en la ciudad de Bari, en el Reino de Nápoles. En su visita se les aparece el santo y les comunica que tendrán un hijo barón al que pondrán por nombre Nicolás, por haber logrado tal beneficio. Así, Amatha meses después dio luz a un hijo al que llamo Nicolás, quien desde muy pequeño estuvo inclinado al servicio de Dios: rezaba y asistía constantemente a la celebración religiosa de la misa. Sin embargo, sentía inconformidad por la vida que llevaba y decide tomar el hábito en el monasterio de san Agustín, en la ciudad de Tolentino; en donde realizaba los días lunes, miércoles y viernes ayuno no consumiendo: carne, huevos, peces y leche. Tenía gran devoción hacia san Nicolás de Mira, a quien imitaba constantemente  y seguía fielmente sus enseñanzas, flagelando su cuerpo con gruesas cadenas que rompían su piel y durmiendo en una cama dura para poder hacer mayor penitencia; siendo tentado por el demonio con el objetivo de desviarlo de su devoción y amor hacia Dios. Según la tradición, seis meses antes de su muerte un coro de ángeles se poso cada noche sobre el santo que muere en el año 1306.";;;Rivadeneira, t, 3,p. 27.
107;Anunciación;;;;Esta temática alude al episodio bíblico en el que el arcángel Gabriel anuncia a María que va a dar a luz niño, Jesús, que “será llamado Hijo del Altísimo”. Pero María pregunta “¿Cómo será esto pues no conozco varón?” y Gabriel responde: “el espíritu santo descenderá sobre ti (…) por eso el que ha de nacer será santo  y será llamado Hijo de Dios”. San Lucas en su evangelio fue quien dio a la tradición el texto fundamental de la Anunciación. Los escritos apócrifos tejieron a partir de estos sobrios datos y enriquecieron el relato original con gran número de detalles. Esencialmente, estos textos apócrifos son por una parte el Protoevangelio de Santiago  y por otra el Evangelio de la Infancia, texto armenio que ejerció una gran influencia en el arte bizantino. Estos datos apócrifos fueron ampliamente difundidos  por la Leyenda dorada de Santiago de la Vorágine. El Protoevangelio de Santiago señala una Anunciación en dos fases sucesivas, versión adoptada por el arte bizantino. En un primer momento, la Virgen es saludada por un ángel cuando va a sacar agua de la fuente. Después teje la púrpura destinada al velo del Templo. El arcángel Gabriel aparece entonces y le anuncia que engendrará al Mesías.;;;G.Suchaux y M. Pastourea. P. 30.
108;Divina Pastora;;;;El tema de la Divina Pastora tiene un origen netamente español. Esta devoción se originó a principios del siglo XVIII, debido a una directa y milagrosa intervención de la Virgen. Según la tradición, un venerable padre capuchino, Isidoro de Sevilla, fue el instrumento escogido para introducir este nuevo aspecto en la veneración mariana. En 1703, este fraile fue destinado al convento de Sevilla. Allí se le apareció la Virgen bajo el vestido y aspecto de pastora,  y le animó a que le hiciese honrar en la forma como la veía. El P. Isidoro hizo confeccionar sin tardanza un estandarte con la figura de María Pastora, y enarbolando este pendón se lanzó a evangelizar las turbas, obteniendo abundantisimo fruto. Asimismo dejo algunos escritos sobre este tema como: La Pastora Coronada, hoy desaparecido.;;;G.Suchaux y M. Pastourea. P.138. Manuel Trens
109;Virgen María;;;;María es la transcripción latina del nombre hebreo Miriam, que significa “gorda”  y en consecuencia “bella” (speciosa). María disfruta de una prehemencia absoluta entre los santos de las iglesias de Oriente y Occidente, porque tiene el privilegio de haber sido la madre de Jesús. Sin embargo, en los Evangelios a penas tiene un papel desdibujado, casi mudo. Sólo habla en cuatro ocasiones: para responder el mensaje del ángel Gabriel, saludar a su prima santa Isabel, quejarse de Jesús al demorarse en el Templo en medio de los doctores y, finalmente, en las Bodas de Caná, para indicarle que el vino se había acabado. Se eclipsa inmediatamente después de la infancia de Jesús, y no toma parte de su apostolado.  La leyenda de la virgen al parecer fue una cristalización tardía y es posible que ocurriera en Siria, a principios del siglo V. A medida que avanzaba la Edad Media su culto adquirió gran importancia, arrastrando consigo ciertas exageraciones e incluso errores, que  la devotion moderna, con su nuevo enfoque de piedad, no sólo no admitió sino que criticó. Así, autores como Erasmo, Lutero y Calvino, consideraron  que el culto de María era excesivo e incluso sin ningún fundamento. Para Erasmo, la Virgen, adornada por la superstición de méritos que ni se mencionaban en lo Evangelios, no siendo más que una humilde mujer que  no tenía  ningún derecho a reinar sobre los altares religiosos. Lutero y Calvino fueron aún más lejos y consideraron el culto de la Virgen como una forma de idolatría que todo cristiano autentico debía abjurar. La Iglesia Católica reaccionó a estos ataques a través del Concilio de Trento. En la campaña de defensa de María participaron teólogos como Pedro Canisio, Francisco Suárez, Roberto Belarmino, entre otros. El tema se generalizó y toda la sociedad católica participó con fervor creciente para honrar  a María, entre ellas las órdenes religiosas que compitieron para erigirse en campeonas de la defensa mariana. De otro lado, es importante tener en cuenta que el orden adoptado para la presentación de las imágenes de María comprende dos ámbitos principales: el Oriente bizantino y Occidente. Resulta también importante diferenciar los arquetipos retenidos por la devoción mariana: Virgen protectora, Virgen con el Niño, Virgen Dolorosa, y los momentos sucesivos alegóricos al destino religioso de María, desde su Inmaculada Concepción a su dolor en el Calvario y su Asunción al cielo: Visitación, Natavidad, Anunciación, Purificación, Asunción.;;;"Leonardi, Riccardi, Zarri;G. Suchaux y. Pastourea"
110;Huida a Egipto;;;;Mateo es el único de los evangelistas que relata este episodio, según el cual un ángel del Señor ordena en sueños a José que huya a Egipto “con el niño y su madre (…) porque Herodes va a buscar al niño para matarlo. José se levanta, toma con él al niño  y a su madre, y huye a Egipto”. Los relatos apócrifos se han encargado de enriquecer esta breve anotación con múltiples anécdotas pintorescas, tales como la persecución de Herodes y el milagro del trigal. Perseguida por los soldados  de Herodes, la Sagrada Familia pasa al lado de un campo en que trabaja un hombre. María le pide que diga a los perseguidores que ha visto pasar a los tres fugitivos en el momento de la siembra. El trigo crece de manera instantánea por efecto de un milagro, y se puede cosechar cuando llegan los hombres de Herodes: renuncian a la persecución, al pensar que el grupo en fuga pasó mucho tiempo atrás. El evangelio apócrifo de Pseudo- Mateo relata también el final del viaje y hace llegar a la Sagrada Familia  a Sotina ciudad de ídolos.;;;G.Suchaux y M. Pastourea.
111;Agustín;430;;;"Nació en Tagaste, cerca de Hipona (Bona- África), el 13 de noviembre de 354, sus padres se llamaban Patricio y Mónica. Desde muy pequeño comienza sus estudios de la lengua latina y griega, teniendo mayor afinidad por la primera que estudió en ciudades como: Tagaste, Madauro y Cartago; no obstante, llevaba una vida desordenada, llena de vicios y malas costumbres, en poca correspondencia con lo que dictaba la moral cristiana de la época. Aproximadamente a los treinta años se dirige a Milán para ocuparse de la cátedra de retórica, en donde conoce a Simpliciano (monje) y a San Ambrosio. El episodio de su conversión tiene lugar en Milán en el 387, tumbado bajo una higuera en el jardín escucha la vos de un niño que le dice: “Tolle, lege” (Toma y lee). Al abrir al azar el libro de las Epístolas de San Pablo que llevaba consigo, lee los versículos 12 y 14 del capítulo 8 de la Epístola de los Romanos: “No viváis en la inmoralidad  y en la impureza, sino revestidos de Nuestro Señor Jesucristo”. Se prepara inmediatamente para recibir el bautismo de la mano de San Ambrosio la noche de pascua (sábado) del año 387, con sus amigos Evodio, Adeodato y Alipio. Posteriormente, San Agustín parte con algunos de sus amigos y su madre, quien lo acompañó durante todos sus viajes, hacia África. En el camino de regreso muere su madre en Ostia, por lo que  Agustín regresa sólo a su patria convirtiéndose en sacerdote en el año 391 y en obispo de Hipona en el 395. Se dedica a compartir la vida de una comunidad monástica con su clero, hasta el día de su muerte que ocurre en el 430 en Hipona, después de haber escrito la Ciudad de Dios durante el asedio de Hipona por los vándalos. En este punto es importante destacar que San Agustín es considerado como el más importante teólogo de la iglesia católica, conocido principalmente por sus Confesiones que redacta hasta la muerte de su madre.";;;"G.Suchaux y M. Pastourea; Rivadeneira, t, 2, p.560"
112;Presentación de la Virgen en el Templo;;;;"Un evangelio apócrifo, el Protoevangelio de Santiago, relata la infancia de la Virgen: cuando María alcanzo la edad de tres años, sus padres, Joaquín y Ana, le llevaron al Templo a fin de consagrarla a Dios, en presencia de otras doncellas y de toda la casa de Israel, tal como lo habían prometido. La recibe y bendice el sumo sacerdote Zacarías, con quien vivirá doce años en el Sancta Sanctórum, con el sumo sacerdote como tutor. Según la tradición,  estuvo recluida con otras doncellas que le servían en una casa pegada al templo, en donde se sumió en penitencia y oración. Cierto día la tomó el sacerdote  y la puso en la primera grada de una escalera que tenía quince escalones,  para que subiera hasta el altar; así con gran presteza y ligereza subió María los  escalones hasta donde se encontraba el sacerdote y se unió en prontitud con otras niñas que la esperaban. Durante su estadía en el templo, aprendió distintos oficios: a hilar (lino, seda y holanda), coser y labrar las vestiduras sacerdotales; asimismo, estudió las letras hebreas y las

Escrituras Sagradas. Este relato fue elaborado sobre un modelo de la vocación de Samuel, ofrecido a Dios por su madre. Retomado especialmente por la Leyenda Dorada se enriqueció con detalles pintorescos.";;;"G.Suchaux y M. Pastourea; Rivadeneira, t, 3, p.456"
113;Clara de Asís;1253;;1255;"Clara nació en Asís, en la provincia de Umbría (Italia), en una familia noble y fuertemente cristiana. Desde muy joven decide permanecer virgen, por lo que rehusó a los deseos de sus padres de contraer matrimonio. A los dieciocho años oye predicar a  san Francisco y decide unirse a él en la Porciúncula, en Asís, y tomar allí el hábito de monja. Su formación en la vida religiosa tiene como escenario dos monasterios benedictinos, como el de san Pablo a cargo de un conjunto de religiosas. Posteriormente, san Francisco le ofrece la iglesia de san Damián (Asís), en la cual el santo había permanecido algún tiempo, para que se internara y pudiera llevar una vida tranquila en oración y penitencia. La comunidad de la que se convierte en abadesa en 1215 consta de la madre de santa Clara y de sus dos hermanas. La austeridad de vida practicada por las mismas fue confirmada por un Privilegio de Pobreza, otorgado por el papa Gregorio IX. Clara no abandonó nunca su monasterio de Asís, donde se esforzó por aplicar el ideal de vida formulado por san Francisco; por ello, decide donar todos y cada uno de sus bienes a las personas más necesitadas de su comunidad. Durante cerca de treinta años sufre distintas enfermedades que no le impiden continuar con su propósito y entregarse sin descanso a sus religiosas.  En dos ocasiones, Asís fue saqueada por los soldados del emperador Federico, gran enemigo de la iglesia y en el que se encontraban gran numero de sacerranos, y el monasterio de santa Clara invadido al estar a las afueras de los muros de la ciudad. No obstante, Clara enferma es llevada hasta las murallas armada con una custodia pone al enemigo en fuga, para morir finalmente en el año de 1253.";;;"G.Suchaux y M. Pastourea; Rivadeneira, t, 2, p.468"
114;Bartolomé;;;;Aunque mencionado en todas las listas de los doce apóstoles, Bartolomé (a veces denominado “Natanael”) no desempeña papel alguno en los Evangelios ni tampoco en los Hechos de los Apóstoles. Se presume que éste fue pescador al igual que la gran mayoría de los apóstoles de Cristo y que debió partir a evangelizar a Arabia y Mesopotamia, por haber ido hasta la India y después haber sufrido el martirio en Armenia: por orden del rey pagano Astiajes, fue degollado vivo y luego crucificado. Varias iglesias de Occidente proclaman que conservan una reliquia más o menos grande de su piel. Esto a hecho que se convierta en el santo patrón de todos los gremios de oficios relacionados con la preparación de las pieles y el trabajo de cuero: carniceros, curtidores, tintoreros, guanteros y encuadernadores.;;;"G.Suchaux y M. Pastourea; Rivadeneira, t, 2, p.537"
115;Pentecostés;;;;El relato del milagro de Pentecostés se encuentra en los Hechos de los Apóstoles. En este texto se narra que al llegar el día de Pentecostés estaban todos juntos, María y los discípulos de Cristo, cuando de repente vino del cielo un ruido como el de una ráfaga de viento impetuoso que lleno toda la casa en la que se encontraban. Se les aparecieron unas lenguas  como de fuego que se repartieron y se posaron sobre cada uno de ellos, quedando todos llenos del Espíritu Santo y se pusieron a hablar en otras lenguas. Se presenta tal acontecimiento como la realización de una profecía del Antiguo testamento “Después de esto derramaré mi Espíritu sobre la carne. Vuestros hijos y  vuestras hijas profetizaran” (Jl 3, 1).;;;G.Suchaux y M. Pastourea, p. 312.
116;Adoración de los  Reyes;;;;El evangelio de Mateo relata cómo unos magos de Oriente son advertidos por una estrella del nacimiento de un rey de Judea. Los magos eran considerados astrónomos, astrólogos, reyes, sacerdotes e inclusos jueces del pueblo. Cuando ingresan a Jerusalén se encuentran con el rey Herodes, quien les hace prometer que regresaran cuando hayan encontrado al Niño para él también adorarlo. Guiador por una estrella descubren al Niño en una casa muy humilde de  Belén, le adoran y le presentan sus ofrendas como el rey de reyes, príncipe del universo y verdadero Dios. Así, el infante recibió de estos personajes Oro, Incienso y Mirra que representaban Rey, Dios y Verdadero Hombre, respectivamente. Advertidos en sueños por un ángel que no regresaran junto a Herodes, los tres reyes se dirigen por otro camino a su país. Los evangelios apócrifos enriquecieron el relato de Mateo con múltiples elementos.  Por ejemplo, el evangelista no precisa el número de magos y no da tampoco sus nombres que son proporcionados por estas  fuentes. Desde los orígenes de esta leyenda se asimilo la presencia de tres personajes que en algunos casos se asociaban a las tres edades de la vida o con las tres partes del mundo (África, Asia y Europa) que habrían venido a ofrecer un homenaje al Salvador. Los nombres de Gaspar, Melchor y Baltasar aparecen en el siglo IX en el Liber Pontificalis de Rávena.;;;"G.Suchaux y M. Pastourea; Rivadeneira, t, 1, p.108"
117;Salvador;;;;Fue bajo las expresiones de San Salvador, Saint Sauveur o Saint Sauve que se consagraban en la Edad Media las iglesias puestas bajo la advocación de Cristo. El alemán Heiland es la antigua forma del participio del verbo heilen (sanar) que significa  literalmente el Sanador.;;;Lois Réau Tomo. 1.
118;Martín de Porres;1639;1837;1962;San Martín de Porres nació en Lima el año 1579. Era hijo de un hidalgo español, D. Juan de Porres, y de una muchacha mulata, Ana Velázquez. Martín fue bautizado en la iglesia de San Sebastián, en la misma pila bautismal en que siete años más tarde lo sería Santa Rosa de Lima. Desde niño fue Martín muy generoso con los pobres, a los que daba parte del dinero cuando iba de compras. Su madre lo llevaba con frecuencia al templo. Su padre, gobernador de Panamá, le procuró una buena educación. A los quince años entró como terciario dominico en el convento del Rosario de Lima. Allí fue feliz, sirviendo con humildad y caridad a los de dentro y a los de fuera. Convirtió el convento en un hospital. Recogía enfermos y heridos por las calles, los cargaba sobre sus hombros y los acostaba en su propia cama. Los cuidaba y mimaba como una madre. Algunos religiosos protestaron, pues infringía la clausura y la paz. La caridad está por encima de la clausura, contestaba Martín. Sus rudimentarias medicinas, y más aún sus manos, obraban curaciones y milagros. Su caridad se extendía a los pobres animalitos que encontraba hambrientos y heridos. Murió el 3 de noviembre de 1639.;;;http://webcatolicodejavier.org/porres.html
119;Virgen del Rosario;;;;El rosario etimológicamente designa una corona de rosas: es una variedad de sarta de cuentas, chapel   o chapelet en francés arcaico, usual hasta el siglo XVI, con el mismo sentido. Las cuentas estaban representadas como rosas blancas y rosas y  que luego se reemplazaron por bolas de dos clases, las grandes para Pater que comienzan cada decena, y las más pequeñas para los Ave. Los dominicos hacían remontar el origen de esta advocación al fundador de la orden, es decir, el siglo  XIII. Alrededor de  1202 la virgen habría aparecido  a santo Domingo y le habría entregado un rosario que éste llamó corona de rosas de Nuestra Señora, y fue gracias a ese talismán que habría triunfado  contra herejía albigense. Gracias a la propaganda de los dominicos  que patrocinaron cofradías del Rosario en todas partes, esta nueva devoción se difundió con asombrosa rapidez. El papa le atribuyó  en el mérito de la victoria le Lepanto sobre la flota turca.;;;Lois Réau Tomo. 2.
120;Presentación del Niño Jesús;;;;Este episodio de la vida de Cristo es relatado por Lucas (2, 22-40). De acuerdo con las normas de la ley de Moisés, los padres de Jesús debían dirigirse a Jerusalén para presentar a su primogénito al Señor y ofrecer un sacrificio de dos tórtolas. En esos momentos un hombre, llamado Simeón, se encuentra en el Templo a donde han acudido impulsado por el Espíritu Santo. Toma a Jesús en sus brazos y dirigiéndose a Dios exclama: “Ahora, Señor, puedes…dejar que tu siervo se vaya en paz, porque mis ojos han visto tu salvación, luz para iluminar a los gentiles”. Simeón, además,  anuncia a María “que una espada le traspasará el corazón”.;;;G.Suchaux y M. Pastourea, 321.
121;Papa Clemente;;;;De origen judío, de la región de Monte de Celo,  habría sido convertido al cristianismo por San Pedro. Fue reconocido por sus sermones, ya que varios de éstos lograron convertir a un conjunto de personas al cristianismo. Debido a esto, el emperador Trajano lo desterró a la Crimea donde fue condenado a partir piedras en una cantera. Para calmar la sed de sus compañeros que estaban muriéndose por la falta de agua, invocó el cordero de Dios quien, rascando el suelo, hizo brotar una fuente de la roca. Finalmente fue ahogada, en presencia de dos de sus discípulos, Cornelio y Febo, en el mar Negro con un ancla en el cuello. Según la tradición los ángeles le construyeron una magnifica tumba de mármol en el mar.;;;Lois Réau. Tomo 3.
122;Desposorios de la Virgen;;;;Como en la mayoría de los temas marianos (Asunción, Coronación, Dormición), no existen referencias a las bodas de María en los Evangelios canónigos. Los textos apócrifos, por lo contrario, colmaron está laguna con mucha imaginación. Según  los cuales María, criada en el Templo de Jerusalén, llega a los catorce años, el sumo sacerdote convoca a todos los descendientes de David que puedan ser un buen partido para casarse. Cada uno debe llevar una vara, y aquel cuya vara florezca será el esposo de María. José, ya anciano, triunfa en la prueba, y la paloma del Espíritu Santo se posa sobre su vara florecida. El matrimonio tiene lugar según el rito judío.;;;G.Suchaux y M. Pastourea, 133- 134.
123;Nacimiento de la Virgen;;;;"No se dispone de ningún dato histórico sobre la fecha y el lugar de este acontecimiento. La fecha se fija tradicionalmente el 8 de septiembre; el lugar señalado es tanto Jerusalén como Nazaret, o incluso Belén.";;;G.Suchaux y M. Pastourea, 284.
124;Flagelación de Cristo;;;;Después de haber interrogado a Jesús, Pilato se lava las manos, pone en libertad a Barrabás, y a continuación entrega a Jesús a los soldados, que lo flagelaron con látigos provistos de pedazos de hueso y de plomo.;;;G.Suchaux y M. Pastourea, 173- 174.
125;Simón, Apóstol;;;;En el evangelio de Lucas y en los Hechos de los Apóstoles, Simón es denominado el “Zelote”. Este  nombre, transcrito del griego Zélotes, es la traducción de la palabra aramea gan´ánai: el apóstol fue miembro de una secta judía rigorista. También es llamado el cananeo, originario de Cana. San Simón fue hermano del también apóstol san Judas Tadeo, hijos de María Cleofé hermana o prima de la Virgen María. Sólo aparece mención de éste, cuando se nombran los doce apósteles en los evangelios y desaparece después del Pentecostés.  Tradiciones más o menos legendarias sitúan su actividad misionera en Egipto. Según algunos textos apócrifos del siglo XVI, predica posteriormente el evangelio en Persia y Babilonia, con el apóstol Judas Tadeo, realizando conversiones y milagros en distintas ciudades. Por tal motivo, serían perseguidos y martirizados al ser degollados por derribar los ídolos al concluir una discusión con sacerdotes paganos y magos. Según otra versión, Simón habría sido cortado con una  sierra, como el profeta Isaías.;;;G.Suchaux y M. Pastourea, 356, Rivadeneira t3 ,308
126;Brígida;;;;Mujer perteneciente a la más alta nobleza sueca (es de ascendencia regia y católica), Brígida queda viuda a la edad de cuarenta años tras haber dado a luz a ocho hijos. Se retira entonces a un convento cisterciense y comienza a tener las primeras de sus celebres visiones.  Oraba continuamente, disciplinaba su cuerpo y realizaba ayunos, siendo tentada continuamente por el demonio. En 1346, funda la orden de San Salvador (también denominada del Redentor), tres años más tarde marcha a establecerse en Roma donde lleva pie de la letra del Evangelio y predica incansablemente la penitencia. Muerta en olor de santidad, Brígida es canonizada en 1391. Es la madre de santa Catalina de Siena que comparte su vida religiosa y muere ocho años después de ella.;;;G.Suchaux y M. Pastourea, 74, Rivadeneira t2, 356
127;Santiago, Apóstol;;;;"Santiago el Mayor es el hermano del apóstol Juan y primo de Jesús. Hijo de Zebedeo y de María Salome, es junto con Andrés, Pedro y Juan, uno de los primeros discípulos llamados por Jesús. Al parecer fue un rico pescador de las riberas del mar de Galilea, teniendo a su disposición navíos y criados. En este lugar, fue llamado por el señor para ser su discípulo y predicar su palabra en compañía de su hermano. Junto a otros apósteles, Santiago asiste a la Trasfiguración y después a la agonía de Cristo en el Huerto de los Olivos. Según algunas fuentes escritas su apostolado lo realizó en Siria, Samaria, Judea y España, en donde impartió la doctrina y predicó el evangelio en varios poblados. A su regreso a Jerusalén es decapitado hacia el año 44, por Herodes de Agripa. Asimismo, otra leyenda sitúa su sepulcro en Galilea, en Santiago de Compostela. Estas tradiciones son relativamente tardías, surgidas en los primeros esfuerzos de reconquista de la Península frente al Islam, pero contribuyeron a desarrollo considerable de su culto en España; en donde se le consideraba el defensor del país contra los moros, infieles y bárbaros. Incluso, a este santo se le atribuyeron numerosos milagros y  revelaciones a los cristianos durante las batallas.";;;G.Suchaux y M. Pastourea, 347, Rivadeneira tç, 369
128;Virgen de la Leche;;;;"La Virgen de la Leche es un tema iconográfico que probablemente empieza en las catacumbas de Priscila , en Roma, donde hay una supuesta representación pictórica de la Virgen en el techo de una tumba.El estilo espontáneo, abocetado y realista del arte cristiano de fines de la Antigüedad queda reflejado en esa imagen.Sin embargo, para Réau, el origen de la iconografía de la VL hay que buscarlo en el Egipto copto, donde fue adorada la imagen de Isis amamantado por Horus en la que la posición del niño sentado sobre las rodillas de una madre sentada probablemente inspire la posterior Virgen de Majestad.

En el Occidente medieval se sigue representando a María como venerada pero distante de los devotos, que la invocan como Notre Dame o Madonna o Nostra Senyora o Nuestra Señora. Son los monjes blancos del Cister quienes más van a difundir el culto mariano en Occidente. De entre ellos, San Bernardo será el defensor apasionado cuya devoción hacia la Virgen producirá una humanización de la iconografía de María, de manera que la imagen artística de la Virgen ya permitirá nutrir a su hijo con la leche. El significado simbólico sería doble: la Virgen alimentaría a Cristo como la Iglesia alimentaría a los cristianos; además al aceptar tanto la maternidad virginal como la alimentación del protagonista de la Redención, se convierte en corredentora.";;;http://www.aguainfant.com/arte/htm/virgen-nino/
