author;activity;bio
Antonio Vilca;;Fue un pintor que perteneció a la escuela cuzqueña y estuvo activo en el último cuarto del siglo XVIII. Fue un seguidor del maestro Marcos Zapata, autor de cuadros religiosos entre 1748 y 1764.
Archibald Robertson;;1765 - 1835. Fue un pintor nacido en Escocia, que trabajó en la Academia de Pintura de Columbia en Nueva York con su hermano Alexander. Su especialidad fueron las miniaturas y los retraros, entre los que están los de George y Martha Washington, que, realizó poco después de llegar a vivir a los Estados Unidos.  Igual que su hermano, Archibald Robertson también realizaba paisajes en acualera y grabado. Publicó un libro titulado Elements of the Graphic Arts en 1802.
Armand Julien Palliere ;;1784 - 1862. Fue un pintor, diseñador y escritor francés que se estableció en Brasil en el año 1817. Durante este año y el siguiente se dedicó a pintar panoramas de las provincias de Río de Janeiro, Sao Paolo y Minas Gerais. Del mismo modo, realizó un plan para urbanizar la ciudad de Vila Real Beach, hoy conocida como Niterói. Se desempeñó también como profesor de dibujo en la Real Academia Militar y realizó algunas de las primeras litografías en Brasil en el Taller de Archivos Militares. Regresó a Francia en 1830 con su familia y allí murió. 
Arthur Devis;;1712 - 1787. Fue un pintor nacido en Lancshire, Inglaterra, especializado en retratos y conocido particularmente por sus conversation pieces. Su estilo se volvió popular en 1930 debido a la delicadeza y el valor histórico de sus obras, en las que documenta a las clases medias de Inglaterra y a la gente rural del siglo XVIII. Entre los años 1762 y 1780 expuso en la Sociedad Libre de Artistas y restauró las pinturas de Sir James Thornhill en el salón de Greenwich.
Ary Scheffer;;1795 - 1858. Fue un pintor, grabador y escultor francés nacido en Dordrecht. Se convirtió en uno de los representantes del clasicismo después de ser discípulo de Pierre Narcisse Guérin, junto con Théodore Géricault y Eugène Delacroix. Trabajó como maestro para los hijos del duque de Orleans, lo cual lo llevó a convertirse en el retratista de muchos miembros de la familia real. Al final de su vida se dedicó a pintar temas religiosos pues no estaba muy inclinado hacia el estilo del Romanticismo pictórico que estaba naciendo en la misma época en la que éste llegó a París.
Asahel Powers;;1813 - 1843. Fue un pintor americano nacido en Springfield, Vermont. Comenzó a pintar desde muy joven de manera que a las 18 años ya era reconocido en el medio de los artistas. La mayoría de sus obras son óleos sobre paneles de madera. Debido a que Powers era un artista itinerante, solo en contadas ocasiones cargaba lienzos por su facilidad de transporte. Su estilo se caracteriza por una exploración en torno al color en los fondos que enmarcaban los personajes de sus retratos.
Ascencio Cabrera;;Fue discípulo de Bernabé Rodríguez y Manuel Samaniego. Aparece como poseedor de un taller en Quito, Ecuador junto a sus hermanos Nicolás y Tadeo Cabrera, en el cual se realizó la Serie El Santoral Dominico entre 1837 y 1841. 
Ascencio Palacios;;S.D. 
Ávila;;S.D.
B. Silani Sillberg ;;S.D.
Balderrama;;S.D.
Baltasar de Echave y Rioja;;Nació en México y fue hijo de Baltasar de Echave Ibía. Al parecer, su formación artística se inició en el taller de José Juárez, por lo que sería importante notar las semejanzas y diferencias que hacen de este artista uno de los mejores exponentes del arte novohispano del siglo XVII. Se han considerado como sus obras más importantes los dos lienzos de la Catedral de Puebla, en donde se representan La Iglesia Militante y La Iglesia Triunfante. La fuente de estas obras son dos estampas que posiblemente son derivadas de la obra de Rubens. Destaca aquí un estilo teatral y retórico, muy del barroco que parte de un intenso colorido y una firme pincelada. A pesar de que nunca conoció Europa, se le puede reconocer una belleza comparable con la moda del Viejo Continente en las representaciones tenebristas. Posiblemente, Echave Rioja pudo mantener contacto con el estilo imperante europeo a través de los grabados y pinturas firmadas por Zurbarán, Murillo y algunos pintores flamencos, que arribaron a la Nueva España. Fuente: http://www.arts-history.mx/sitios/index.php?id_sitio=421110&id_seccion=870186&id_subseccion=572356&id_documento=1644
Baltasar Echave Ibía;;"Baltasar de Echave Ibía (1584-1650?). Fue hijo de Baltasar Echave Orio, llamado ""el viejo"". Conocido con el apodo de "" el mozo"", auqnue otros autores reservan ese apelativo para el tercer representante d ela dinastía Blatazar Echave Rioja. Contrajo matrimonio en 1623 con Ana de Rioja y su corta vida se extingió a mediados de siglo. Es lógico suponer que se formó al lado de su padre, cuyo nombre restigioso oscureció un poco la gloria de sus hijos. Pintor de composiciones religiosas al estilo de las de su padre, paisajes o paises, como se decía entonces. "
Baltasar Echave Orio;1573 - 1620;Echave Orio, Baltasar de (1547-1620). Nació en la casa que la familia poseía en Aizarnazabal, cerca de Oiquina, desafortunadamente no se sabe la fecha exacta, pero la podemos situar entre 1547 y 1548. De él no tenemos noticia hasta 1573, cuando hace testamento ante el escribano Francisco de la Torre, con motivo de trasladarse a Sevilla. Llega a México después de ese año, sin embargo, no tenemos noticias suyas hasta 1582 cuando contrae matrimonio con Isabel de Ibía, hija del también pintor Francisco de Zumaya. Continuó trabajando hasta cerca de 1620, año aproximado de su muerte. Su vida a diferencia de otros pintores fue muy sedentaria lo que explicaría parte de su baja producción. Fuente: Arte Colonial. Catálogo de Artistas Coloniales.
Bartolomé Alonso de Cazales;;Fue un pintor español que estuvo activo en Caracas, Venezuela desde 1722 hasta 1726. Recibió su formación en la escuela sevillana, lo cual se refleja en las características formales de sus cuadros en los que se encuentran personajes rígidos con atuendos en los que se recoge el más mínimo detalle de los bordados, joyas y encajes. 
Bartolomé Pérez;;Pérez de la Dehesa, Bartolomé (Madrid, h. 1634-1698). Pintor español. Formado con Juan de Arellano quien más tarde se convertiría en su suegro, al casarse con su hija Juana en 1663. Se especializó en la pintura de flores y de guirnaldas, incluyendo en estas últimas escenas religiosas y representaciones de santos. Dignas de mención son también Jarrón con flores, Flores en un jarrón esculpido y Guirnalda con la muerte de san Francisco. Estilísticamente, imitó los modelos de jarrones de bronce decorados o cestillos de flores de Arellano y la técnica de los italianos Mario Nuzzi, Paolo Porpora, Giuseppe Recco, Giovanni Paolo Spadino y Margarita Caffi. Asimismo, destacó como pintor decorativo, participando en las ornamentaciones de los arcos efímeros realizados con motivo de la entrada de la reina María Luisa de Orleans, primera esposa de Carlos II, en 1679 y en las escenografías para los teatros del Alcázar y del Buen Retiro. Estos trabajos le valieron el nombramiento de pintor del rey el 22 de enero de 1689.. En su testamento aparecen gran cantidad de obras religiosas, demostrando así la importancia de este género en su producción. Fuente: http://www.museodelprado.es/enciclopedia/enciclopedia-on-line/voz/perez-de-la-dehesa-bartolome/
Bartolomé Román;;" (1595- 1659). Aparte de Carducho otros pintores de la corte española en Madrid enviaron obras a Lima en el siglo XVII, la más notable es la ""Serie de Arcángeles"" de Bartolomé Román en la iglesia jesuita de San Pedro. Este artista natural de Córdoba, fue pintor de la corte española de Madrid, contemporáneo de Velázquez y probable discípulo de Vicente Carducho, esta magnífica serie es similar a una firmada por él que se encuentra en el Monasterio de La Encarnación en Madrid. De hacia 1635 a l640 es considerada como una de las más antiguas series de Arcángeles en América que sirvió de inspiración a otras obras similares en el Perú. Fuente: Paz Soldán Boza, Mariano Felipe. (). Panorama de la pintura virreinal peruana: Escuela Limeña."
Basilio de Salazar;1630 - 1645;Fue un pintor mexicano activo en el primer tercio del siglo XVII. Trabajó principalmente para los franciscanos. Sus cuadros más conocidos son el de la Exaltación de la Inmaculada presente actualmente en el Museo de Arte de Querétaro y el de la Misa de San Gregorio en la iglesia del Oratorio en la ciudad de León, Guanajuato. 
Basilio de Santa Cruz Pumacallao;1661-1700;(1635-1710). Pintor indígena Quechua. El maestro más favorecido por el mecenazgo de Mollinedo fue, sin duda, Basilio de Santa Cruz Pumacallao. Su carrera había empezado hacia 1661. Al año siguiente firmaba el San Laureano mártir, en el convento de la Merced, que revela a un retratista y pintor religioso de gran aliento. Posteriormente realiza en el convento franciscano una parte de la serie sobre la vida de San Francisco de Asís (1667), obra que despertó la admiración del virrey Conde de Lemos al visitar la ciudad en 1668. A partir de 1690, Santa Cruz se hará cargo de las principales obras decorativas de la catedral por encargo de Mollinedo, lo que significa su consagración definitiva como pintor. Sin duda un gran exponente de la escuela cuzqueña de pintura. Fuente: Arte Colonial. Catálogo de Artistas Coloniales. P. 165-166
Basilio Pacheco;1738 - 1752;Nacido en Cuzco en el siglo XVIII. Es considerado uno de los pintores más prominentes de la pintura cuzqueña en el XVIII junto al maestro Marcos Zapata.  Estuvo activo entre los años 1738 y 1752 y entre sus pinturas, de estilo barroco, se destacan La vida de San Agustín, El entierro de San Agustín, La circuncisión y Jesús entre los doctores.
Bass Otis;;1784 - 1861. Fue un pintor americano nacido en East Bridgewater, Massachusetts que se desempeñó principalmente como retratista. Es conocido por producir la primera litografía americana en 1819. En 1812 fue elegido para pertenecer a la Sociedad de Artistas de los Estados Unidos y el 1824 fue nombrado miembro de la Academia de Pensilvania.  
Batailles de Guararapes;;S.D.
Belchior Paulo ;;1554 - 1619. Fue un religioso jesuita nacido en Portugal y activo en Brasil a finales del siglo XVI. Se unió a la Compañía de Jesús en 1572 y llegó a Brasil en 1587 junto con una expedición de sacerdotes que venían de Lisboa. En 1589 se mudó a Salvador Bahía y trabajó allí hasta 1614, año en el que se trasladó a Río de Janeiro. Sus pinturas son de las mas antiguas producidas en Brasil, sin embargo la mayoría se han perdido. 
Benavides;;S.D.
Benjamin Greenleaf;;"Benjamin Greenleaf the painter was once thought to be identical to Benjamin Greenleaf (1786-1805) the prominent American educator. In 1981, however, the artist was revealed to be a different individual, born in Hull, Massachusetts, 13 Janaury 1769. His known works range in date from 1803 to 1818. During this period he worked in Massachusetts (Weymouth, Hingham, Braintree, and Newton, 1803-1812; Weymouth again, 1815; Boston area, 1817), New Hampshire (Hopkinton, Hanover, 1813) and Maine (Bath, Paris, Portland, 1816; Bath, Bridgton, Phippsburg, 1817-1818). He painted the members of many families that were related through intermarriage, and seems to have relied on word-of-mouth, rather than newspaper or other advertising, to obtain commissions. To date there are fifty-six known works by Greenleaf, the majority of them reverse paintings on glass, painted in the profile format. Greenleaf's works are characterized by attractively subtle colors, well-proportioned features, and physiognomic accuracy. Although the artist has become more widely known through recent articles, he almost certainly would be even better recognized if his paintings, many undoubtedly destroyed, had been executed on a support less fragile than glass. Greenleaf died in Weymouth on 10 January 1821"
